epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,126.051,0.64504,0.66137,0.91057,0.98709,0.925,0.97206,0.80462,0.68784,0.51082,0.90911,0.000990365,0.000990365,0.000990365
43,128.894,0.64246,0.6579,0.90137,0.95268,0.95568,0.96863,0.79095,0.71327,0.52937,0.91419,0.000973861,0.000973861,0.000973861
44,131.762,0.63591,0.62094,0.89878,0.98408,0.93472,0.96774,0.80128,0.69613,0.51386,0.90732,0.000957358,0.000957358,0.000957358
45,134.578,0.63845,0.63404,0.8871,0.98022,0.92237,0.96782,0.79003,0.72358,0.54144,0.90848,0.000940855,0.000940855,0.000940855
46,137.633,0.619,0.62703,0.88723,0.95175,0.91528,0.96591,0.80661,0.68181,0.54818,0.89474,0.000924352,0.000924352,0.000924352
47,140.494,0.62703,0.60951,0.89524,0.93445,0.88941,0.95208,0.77454,0.71747,0.58616,0.9007,0.000907848,0.000907848,0.000907848
48,143.371,0.61187,0.54723,0.88326,0.94689,0.88333,0.955,0.78531,0.69323,0.53742,0.90335,0.000891345,0.000891345,0.000891345
49,146.298,0.60717,0.57446,0.88979,0.93518,0.93611,0.95337,0.79837,0.69322,0.52324,0.90531,0.000874842,0.000874842,0.000874842
50,149.279,0.58163,0.56757,0.87422,0.97065,0.94583,0.96416,0.8049,0.71091,0.48072,0.90761,0.000858338,0.000858338,0.000858338
51,152.181,0.59201,0.54872,0.89094,0.99791,0.93825,0.96184,0.79999,0.70004,0.48417,0.90426,0.000841835,0.000841835,0.000841835
52,155.193,0.6111,0.5635,0.88816,0.94139,0.94176,0.96251,0.8057,0.68866,0.50785,0.89585,0.000825332,0.000825332,0.000825332
53,158.05,0.59104,0.55697,0.88012,0.98213,0.90417,0.96475,0.8113,0.68545,0.54052,0.89696,0.000808828,0.000808828,0.000808828
54,161.093,0.54389,0.53384,0.86245,0.98255,0.94487,0.96565,0.79878,0.70507,0.48356,0.90407,0.000792325,0.000792325,0.000792325
55,164.012,0.57566,0.5343,0.8716,0.99655,0.91389,0.9605,0.79687,0.67973,0.47895,0.90139,0.000775822,0.000775822,0.000775822
56,166.88,0.56248,0.53828,0.87073,0.99196,0.91692,0.96029,0.80876,0.67871,0.47247,0.90405,0.000759318,0.000759318,0.000759318
57,169.678,0.57881,0.50143,0.85404,0.95845,0.93343,0.95721,0.81052,0.66745,0.47768,0.89808,0.000742815,0.000742815,0.000742815
58,172.561,0.5455,0.49214,0.86203,0.97255,0.93261,0.9494,0.80588,0.66221,0.47667,0.89374,0.000726312,0.000726312,0.000726312
59,175.514,0.58463,0.53011,0.86908,0.98055,0.93322,0.96716,0.80844,0.67387,0.45699,0.89855,0.000709809,0.000709809,0.000709809
60,178.366,0.57457,0.51957,0.85653,0.97548,0.95677,0.96952,0.82933,0.62017,0.45578,0.89793,0.000693305,0.000693305,0.000693305
61,181.232,0.56581,0.50974,0.86993,0.96532,0.95617,0.97096,0.82335,0.64477,0.43256,0.89578,0.000676802,0.000676802,0.000676802
62,184.218,0.55648,0.50061,0.85228,0.99673,0.95334,0.97556,0.82899,0.63709,0.43429,0.89041,0.000660299,0.000660299,0.000660299
63,187.157,0.53998,0.4984,0.86164,0.99433,0.95477,0.97532,0.84275,0.62315,0.43255,0.88506,0.000643795,0.000643795,0.000643795
64,190.027,0.57351,0.48373,0.8657,0.99003,0.96667,0.97586,0.84452,0.60969,0.43344,0.87621,0.000627292,0.000627292,0.000627292
65,192.832,0.52615,0.49346,0.85326,0.994,0.96667,0.97537,0.82724,0.62328,0.4218,0.8768,0.000610789,0.000610789,0.000610789
66,195.778,0.55002,0.48753,0.85392,0.99684,0.94413,0.97299,0.83101,0.6309,0.44166,0.88072,0.000594286,0.000594286,0.000594286
67,198.813,0.54355,0.4924,0.86051,0.98466,0.94182,0.97214,0.84007,0.63066,0.45209,0.88026,0.000577782,0.000577782,0.000577782
68,201.709,0.52398,0.48004,0.86658,0.98613,0.94162,0.97413,0.84243,0.6326,0.44508,0.88378,0.000561279,0.000561279,0.000561279
69,204.52,0.5295,0.47681,0.86417,0.98227,0.94583,0.97148,0.8359,0.62053,0.4334,0.88677,0.000544776,0.000544776,0.000544776
70,207.412,0.52511,0.49348,0.87036,0.99567,0.94583,0.97313,0.83029,0.62469,0.41376,0.88757,0.000528272,0.000528272,0.000528272
71,210.558,0.51604,0.46246,0.87403,0.97878,0.93472,0.97414,0.84069,0.62188,0.41748,0.88115,0.000511769,0.000511769,0.000511769
72,213.476,0.50687,0.46287,0.86124,0.98861,0.97363,0.97651,0.84059,0.62555,0.41083,0.8783,0.000495266,0.000495266,0.000495266
73,216.346,0.50995,0.44682,0.86083,0.96966,0.97778,0.97656,0.84032,0.62128,0.41008,0.87877,0.000478762,0.000478762,0.000478762
74,219.278,0.49598,0.43182,0.86864,0.97596,0.97405,0.97621,0.85028,0.59644,0.4059,0.87031,0.000462259,0.000462259,0.000462259
75,222.29,0.49747,0.44352,0.84926,0.98857,0.97056,0.97637,0.84823,0.60572,0.39703,0.87093,0.000445756,0.000445756,0.000445756
76,225.201,0.50431,0.45322,0.85037,0.95512,0.9741,0.97478,0.84363,0.58861,0.40331,0.87126,0.000429253,0.000429253,0.000429253
77,228.048,0.46955,0.43613,0.85367,0.98694,0.95667,0.97438,0.85397,0.57056,0.39195,0.86949,0.000412749,0.000412749,0.000412749
78,231.056,0.4952,0.43004,0.84975,0.98856,0.95162,0.97555,0.84615,0.59055,0.3983,0.87442,0.000396246,0.000396246,0.000396246
79,234.098,0.47227,0.41947,0.84002,0.982,0.9518,0.9755,0.84712,0.59918,0.39536,0.87751,0.000379743,0.000379743,0.000379743
80,237.027,0.48088,0.42191,0.83732,0.97732,0.9603,0.97554,0.84761,0.5868,0.39435,0.87434,0.000363239,0.000363239,0.000363239
81,239.849,0.47872,0.42306,0.85084,0.96707,0.97778,0.97592,0.85136,0.57816,0.38934,0.87089,0.000346736,0.000346736,0.000346736
82,242.946,0.49042,0.42275,0.84984,0.99549,0.9513,0.97589,0.85031,0.56838,0.37822,0.87101,0.000330233,0.000330233,0.000330233
83,246.063,0.49548,0.41328,0.85431,0.98278,0.96314,0.97562,0.85,0.57465,0.37879,0.87268,0.000313729,0.000313729,0.000313729
84,248.965,0.47416,0.42546,0.85831,0.98671,0.96385,0.97588,0.84652,0.5695,0.37127,0.86786,0.000297226,0.000297226,0.000297226
85,251.756,0.49553,0.42061,0.86321,0.99557,0.94583,0.97558,0.851,0.5684,0.36007,0.86683,0.000280723,0.000280723,0.000280723
86,254.752,0.44097,0.39298,0.82915,0.99772,0.95049,0.97599,0.85027,0.56993,0.36029,0.86496,0.00026422,0.00026422,0.00026422
87,257.66,0.46049,0.40868,0.84441,0.99737,0.94743,0.9753,0.84723,0.57363,0.35995,0.86369,0.000247716,0.000247716,0.000247716
88,260.8,0.45426,0.41441,0.84135,0.99487,0.94583,0.97577,0.85258,0.57121,0.36832,0.8634,0.000231213,0.000231213,0.000231213
89,263.64,0.44004,0.39054,0.84691,0.98069,0.94318,0.97546,0.85296,0.5644,0.37872,0.86389,0.00021471,0.00021471,0.00021471
90,266.503,0.4456,0.38044,0.83367,0.98998,0.925,0.97395,0.8539,0.56491,0.38481,0.86462,0.000198206,0.000198206,0.000198206
91,300.973,0.4279,0.37745,0.81459,0.99443,0.94211,0.97423,0.84204,0.59438,0.3881,0.87151,0.000181703,0.000181703,0.000181703
92,303.9,0.45755,0.38559,0.81626,0.99132,0.94583,0.97461,0.83126,0.61602,0.39095,0.87562,0.0001652,0.0001652,0.0001652
93,306.747,0.41942,0.36667,0.79624,0.99107,0.94583,0.97478,0.84326,0.60946,0.38267,0.87478,0.000148696,0.000148696,0.000148696
94,309.678,0.43556,0.36182,0.82506,0.9884,0.96196,0.97552,0.84427,0.60633,0.37719,0.87464,0.000132193,0.000132193,0.000132193
95,312.593,0.39974,0.35816,0.80456,0.98586,0.96147,0.97576,0.84758,0.59985,0.37468,0.87504,0.00011569,0.00011569,0.00011569
96,315.572,0.40631,0.35058,0.81461,0.98835,0.94583,0.97503,0.8475,0.5858,0.36116,0.87353,9.91865e-05,9.91865e-05,9.91865e-05
97,318.37,0.39799,0.34133,0.80543,0.9893,0.94583,0.9753,0.84583,0.57864,0.35538,0.8718,8.26832e-05,8.26832e-05,8.26832e-05
98,321.281,0.38621,0.33892,0.79181,0.98979,0.94583,0.97539,0.84603,0.57427,0.35802,0.87137,6.61799e-05,6.61799e-05,6.61799e-05
99,324.167,0.39378,0.34273,0.81569,0.99075,0.94583,0.97549,0.8472,0.57447,0.35714,0.87013,4.96766e-05,4.96766e-05,4.96766e-05
100,327.164,0.39681,0.34844,0.80908,0.99156,0.94583,0.97559,0.85053,0.57132,0.35808,0.87051,3.31733e-05,3.31733e-05,3.31733e-05
